event_name,event_time,event_mag,net,sta,comp,slat,slon,sevla,dist,snr,polarity,sharpness,ray_azimuth,take_off_angle,P_time,S_time
sparta0.0,2020-08-09T12:07:37,5.14,ET,GFM,HHZ,36.111,-81.807,1726.0,75.74812,22.372266619001028,D,E,237.19186,62.865070817838266,2020-08-09T12:07:50.068087Z,2020-08-09T12:07:58.906048Z
sparta0.0,2020-08-09T12:07:37,5.14,N4,U54A,HHZ,36.5209,-81.8204,837.0,64.686455,35.76141048944183,U,E,273.94516,,2020-08-09T12:07:48.163296Z,2020-08-09T12:07:55.713057Z
sparta0.0,2020-08-09T12:07:37,5.14,N4,U56A,HHZ,36.3472,-80.3829,363.0,66.047585,33.124168521810844,D,E,102.9727,,2020-08-09T12:07:48.397608Z,2020-08-09T12:07:56.105841Z
sparta0.0,2020-08-09T12:07:37,5.14,N4,V55A,HHZ,35.8518,-81.2149,313.0,70.79542,37.66714734866862,U,E,188.43828,,2020-08-09T12:07:49.205972Z,2020-08-09T12:07:57.466974Z
sparta0.0,2020-08-09T12:07:37,5.14,US,BLA,BHZ,37.2113,-80.42049,634.0,101.01905,16.60595881893602,D,E,36.656498,62.86479615173884,2020-08-09T12:07:54.422113Z,2020-08-09T12:08:06.204575Z
sparta0.0142,2020-08-09T12:28:02,0.91,ET,GFM,HHZ,36.111,-81.807,1726.0,75.730576,1.535969443545354,x,x,236.23964,62.85991110410201,2020-08-09T12:28:15.063437Z,2020-08-09T12:28:23.898209Z
sparta0.0142,2020-08-09T12:28:02,0.91,N4,U54A,HHZ,36.5209,-81.8204,837.0,63.922283,-2.250500395202223,x,x,273.056,,2020-08-09T12:28:13.029644Z,2020-08-09T12:28:20.489025Z
sparta0.0142,2020-08-09T12:28:02,0.91,N4,U56A,HHZ,36.3472,-80.3829,363.0,66.97006,0.1382358023604665,x,x,103.69824,,2020-08-09T12:28:13.554501Z,2020-08-09T12:28:21.368835Z
sparta0.0142,2020-08-09T12:28:02,0.91,N4,V55A,HHZ,35.8518,-81.2149,313.0,71.723724,0.9854788166231021,x,x,187.75725,,2020-08-09T12:28:14.364061Z,2020-08-09T12:28:22.731981Z
sparta0.0142,2020-08-09T12:28:02,0.91,US,BLA,BHZ,37.2113,-80.42049,634.0,100.61275,1.5075205144553336,x,x,37.325283,62.85965418602179,2020-08-09T12:28:19.350951Z,2020-08-09T12:28:31.085504Z
sparta0.1516,2020-08-09T15:45:56,1.8,ET,GFM,HHZ,36.111,-81.807,1726.0,75.86757,1.988652036493359,x,x,238.44923,62.975420367646656,2020-08-09T15:46:09.170349Z,2020-08-09T15:46:18.077484Z
